deal,Signing date,Closing date,First,MI.x,Last,Law Firm 1,Type
17 - James River Coal Company acquisition of equity interests of International R.docx,6-Mar-11,18-Apr-11,NA,NA,NA,Jackson Kelly Pllc,Target/Seller
024 - Revolution Lighting Technologies Inc and Value Lighting Inc merger.docx,6-Mar-14,17-Apr-14,NA,NA,NA,"Norris Mclaughlin & Marcus, P.a.",Target/Seller
022 - The Advisory Board Company acquisition of stock of Royall Acquisition Co.docx,10-Dec-14,9-Jan-15,NA,NA,NA,Kirkland & Ellis Llp,Target/Seller
054 - HealthSouth Corporation and CareSouth Health System Inc merger.docx,28-Aug-15,2-Nov-15,NA,NA,NA,King & Spalding Llp,Target/Seller
053 - Sunoco LP acquisition of equity interests of Sunoco Retail LLC and Sunoco .docx,15-Nov-15,"March 31, 2016 (effective January 1, 2016).",NA,NA,NA,NA,Buyer
007 - Fred's Inc acquisition of certain assets of Rite Aid Corporation.docx,19-Dec-16,NA,NA,NA,NA,Sidley Austin LLP,Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,14-Apr-17,17-May-17,NA,NA,NA,Arnold & Porter Kaye Scholer Llp,Target/Seller
040 - Martin Marietta Materials Inc acquisition of equity interests of Panadero .docx,23-Jun-17,27-Apr-18,NA,NA,NA,"Cravath, Swaine & Moore Llp",Buyer
025 - Cincinnati Bell Inc and OnX Holdings LLC merger.docx,9-Jul-17,2-Oct-17,NA,NA,NA,"Cravath, Swaine & Moore Llp",Buyer
019 - Virtusa Corporation acquisition of stock of eTouch Systems Corp.docx,12-Mar-18,12-Mar-18,NA,NA,NA,Goodwin Procter Llp,Buyer
018 - Brunswick Corporation and Power Products Holdings LLC merger.docx,28-Jun-18,7-Aug-18,NA,NA,NA,"Cravath, Swaine & Moore Llp",Buyer
057 - US Foods Holding Corp acquisition of stock of Amerifresh Inc Ameristar Mea.docx,28-Jul-18,13-Sep-19,NA,NA,NA,"Cravath, Swaine & Moore Llp",Buyer
038 - Greif Inc and Caraustar Industries Inc merger.docx,20-Dec-18,11-Feb-19,NA,NA,NA,Allen & Overy Llp,Buyer
095 - The EW Scripps Company acquisition of certain assets of Nexstar Media Grou.docx,20-Mar-19,19-Sep-19,NA,NA,NA,Kirkland & Ellis Llp,Target/Seller
094 - TEGNA Inc acquisition of certain assets of Nexstar Media Group Inc.docx,20-Mar-19,NA,NA,NA,NA,Kirkland & Ellis Llp,Target/Seller
060 - KPS Capital Partners LP acquisition of subsidiary equity interests of Brun.docx,5-May-19,27-Jun-19,NA,NA,NA,"Cravath, Swaine & Moore Llp",Target/Seller
048 - WaveDivision Capital LLC and Searchlight Capital Partners LLC acquisition .docx,28-May-19,1-May-20,NA,NA,NA,"Cravath, Swaine & Moore Llp",Target/Seller
078 - US Foods Inc and Smart Stores Holdings Corp merger.docx,5-Mar-20,24-Apr-20,NA,NA,NA,"Cravath, Swaine & Moore Llp",Buyer
015 - STERIS plc acquisition of equity interests of Key Surgical LLC.docx,2-Oct-20,NA,NA,NA,NA,Jones Day,Buyer
7 - Whole Earth Brands Inc acquisition of stock of Wholesome Sweeteners Incorpor.docx,17-Dec-20,5-Feb-21,NA,NA,NA,Kirkland & Ellis Llp,Target/Seller
069 - The Carlyle Group and GIC acquisition of subsidiary equity interests and c.docx,"August 11, 2015 (amended January 19, 2016)",29-Jan-16,NA,NA,NA,Allen & Overy,Buyer
